Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1471-2026,Active,Wakaw,True Dope Cannabis Shop - Wakaw,"Jct. Hwys 2 &, SK-41 NW 19-42-26 W2",www.truedope.shop,2025-10-28
R1070-2028,Active,Regina,Tokyo Smoke - Regina,3735 Quance St E,www.ca.tokyosmoke.com,2025-10-28
R1081-2028,Active,Melville,Tokyo Smoke - Melville,290 Prince William Dr,www.ca.tokyosmoke.com,2025-10-28
R1078-2028,Active,Meadow Lake,Tokyo Smoke - Meadow Lake,101 Centre St,www.ca.tokyosmoke.com,2025-10-28
R1082-2028,Active,Humboldt,Tokyo Smoke - Humboldt,R20-1919A 8th Ave,www.ca.tokyosmoke.com,2025-10-28
R1085-2028,Active,Fort Qu'Appelle,Tokyo Smoke - Fort Qu'Appelle,241 Broadway St E,www.ca.tokyosmoke.com,2025-10-28
R1321-2028,Active,Foam Lake,TLC Cannabis - Foam Lake,424 Highway 16 E,www.tlccannabis.ca ,2025-10-28
R1491-2027,Active,Tisdale,Tisdale Cannabis Store - Tisdale,1009 100 St.,N/A,2025-10-28
R1284-2027,Active,Regina,The Weed Store - Regina,102 -3934 Dewdney Ave,www.theweedstoresk.com,2025-10-28
R1441-2026,Active,Luseland,The Udder Buzz - Luseland,405 Pacific Ave,N/A,2025-10-28
R1328-2028,Active,Regina,The Stash Spot Cannabis Corp. - Regina,2425 11th Ave,www.thestashspot.ca,2025-10-28
R1153-2026,Active,Maple Creek,The Southwest Bake Shoppe - Maple Creek,113 Harder St,www.thebakeshoppe.ca,2025-10-28
R1342-2028,Active,Yorkton,The Pot Shack - Yorkton,326 Broadway St W,www.thepotshack.ca,2025-10-28
R1038-2027,Active,Saskatoon,The Pot Shack - Saskatoon,3-1115 Grosvenor Ave,www.thepotshack.ca,2025-10-28
R1180-2027,Active,Saskatoon,The Pot Shack - Saskatoon,110-801 51st St,www.thepotshack.ca,2025-10-28
R1442-2026,Active,Grenfell,The Leaf Boutique - Grenfell,1003 Front St,N/A,2025-10-28
R1072-2028,Active,Assiniboia,The Joint Head Shop Inc. - Assiniboia,420 Centre St,www.thejointcannabis.ca,2025-10-28
R1325-2028,Active,Saskatoon,The Joint Cannabis - Saskatoon,55-1244 Baltzan Blvd,www.thejointcannabis.ca,2025-10-28
R1209-2027,Active,Saskatoon,The Joint Cannabis - Saskatoon,2-1216 Idylwyld Dr N,www.thejointcannabis.ca,2025-10-28
R1233-2027,Active,Saskatoon,The Joint Cannabis - Saskatoon,60-622 Circle Dr E,www.thejointcannabis.ca,2025-10-28
R1458-2026,Active,Saskatoon,The Joint Cannabis - Saskatoon,80-3030 Meadows ,www.thejointcannabis.ca,2025-10-28
R1366-2028,Active,Regina,The Joint Cannabis - Regina,196 Massey Rd,www.thejointcannabis.ca,2025-10-28
R1203-2027,Active,Regina,The Joint Cannabis - Regina,926 Victoria Ave,www.thejointcannabis.ca,2025-10-28
R1550-2028,Active,Saskatoon,The Hit Pit Cannabis 8 - Saskatoon,3012 8th St E,www.thehitpitcannabis.com,2025-10-28
